folio,section,n_tokens,n_unique_middles,mean_length,mean_segments,unique_rate
f1r,T,205,84,2.03,1.35,0.41
f1v,H,84,34,1.63,1.17,0.405
f2r,H,97,43,1.72,1.22,0.443
f2v,H,61,22,1.61,1.16,0.361
f3r,H,112,51,1.94,1.28,0.455
f3v,H,81,39,1.94,1.23,0.481
f4r,H,63,29,1.65,1.17,0.46
f4v,H,81,39,1.94,1.31,0.481
f5r,H,56,27,1.77,1.23,0.482
f5v,H,43,24,2.07,1.35,0.558
f6r,H,81,40,2.0,1.23,0.494
f6v,H,113,49,2.12,1.31,0.434
f7r,H,62,34,2.34,1.29,0.548
f7v,H,72,39,2.03,1.26,0.542
f8r,H,140,60,1.91,1.29,0.429
f8v,H,117,39,1.56,1.15,0.333
f9r,H,81,43,2.01,1.3,0.531
f9v,H,82,34,1.79,1.23,0.415
f10r,H,90,37,1.88,1.2,0.411
f10v,H,53,21,1.6,1.06,0.396
f11r,H,57,26,1.61,1.18,0.456
f11v,H,48,29,1.77,1.15,0.604
f13r,H,78,35,1.91,1.21,0.449
f13v,H,66,31,1.7,1.14,0.47
f14r,H,76,32,1.64,1.11,0.421
f14v,H,68,42,2.31,1.34,0.618
f15r,H,92,34,1.58,1.14,0.37
f15v,H,69,25,1.51,1.13,0.362
f16r,H,77,42,2.31,1.42,0.545
f16v,H,73,35,1.96,1.22,0.479
f17r,H,74,50,2.54,1.51,0.676
f17v,H,126,44,1.71,1.17,0.349
f18r,H,81,34,1.94,1.22,0.42
f18v,H,67,33,1.9,1.15,0.493
f19r,H,75,30,1.72,1.19,0.4
f19v,H,75,32,1.91,1.2,0.427
f20r,H,84,45,2.13,1.25,0.536
f20v,H,86,34,1.74,1.2,0.395
f21r,H,94,42,1.95,1.26,0.447
f21v,H,56,29,1.95,1.25,0.518
f22r,H,102,45,1.92,1.26,0.441
f22v,H,74,34,1.96,1.24,0.459
f23r,H,99,44,1.94,1.32,0.444
f23v,H,85,41,1.87,1.27,0.482
f24r,H,102,43,1.86,1.25,0.422
f24v,H,77,46,2.51,1.48,0.597
f25r,H,48,28,1.9,1.19,0.583
f25v,H,57,28,1.89,1.18,0.491
f27r,H,91,34,1.49,1.11,0.374
f27v,H,57,35,2.39,1.47,0.614
f28r,H,67,36,1.97,1.27,0.537
f28v,H,67,26,1.52,1.15,0.388
f29r,H,64,32,1.84,1.19,0.5
f29v,H,95,36,1.63,1.14,0.379
f30r,H,94,38,1.85,1.18,0.404
f30v,H,62,36,2.1,1.26,0.581
f32r,H,74,32,1.66,1.09,0.432
f32v,H,79,31,1.63,1.16,0.392
f35r,H,92,32,1.53,1.07,0.348
f35v,H,83,37,1.77,1.16,0.446
f36r,H,62,32,1.73,1.21,0.516
f36v,H,71,36,1.93,1.25,0.507
f37r,H,76,34,1.7,1.13,0.447
f37v,H,87,41,2.0,1.32,0.471
f38r,H,41,24,1.78,1.2,0.585
f38v,H,65,19,1.22,1.03,0.292
f42r,H,141,53,1.73,1.2,0.376
f42v,H,109,43,1.77,1.17,0.394
f44r,H,74,46,2.5,1.43,0.622
f44v,H,94,37,1.84,1.18,0.394
f45r,H,84,34,1.6,1.18,0.405
f45v,H,83,40,1.84,1.19,0.482
f47r,H,77,30,1.56,1.13,0.39
f47v,H,85,38,1.81,1.21,0.447
f49r,H,112,47,1.89,1.23,0.42
f49v,H,167,70,2.11,1.31,0.419
f51r,H,85,44,2.34,1.34,0.518
f51v,H,79,41,2.05,1.29,0.519
f52r,H,67,36,2.1,1.34,0.537
f52v,H,74,41,2.05,1.24,0.554
f53r,H,56,33,2.2,1.29,0.589
f53v,H,73,39,2.19,1.32,0.534
f54r,H,98,42,1.9,1.24,0.429
f54v,H,88,41,1.73,1.17,0.466
f56r,H,98,37,1.92,1.22,0.378
f56v,H,86,34,1.85,1.2,0.395
f58r,T,351,150,2.36,1.47,0.427
f58v,T,347,102,1.94,1.28,0.294
f87r,H,97,52,2.52,1.38,0.536
f87v,H,85,55,2.62,1.49,0.647
f88r,P,142,54,1.87,1.28,0.38
f88v,P,144,69,2.31,1.35,0.479
f89r1,P,139,72,2.01,1.32,0.518
f89r2,P,237,76,1.94,1.28,0.321
f89v1,P,157,61,1.83,1.21,0.389
f89v2,P,172,78,2.09,1.38,0.453
f90r1,H,69,46,2.25,1.41,0.667
f90r2,H,44,26,2.14,1.23,0.591
f90v1,H,91,50,2.43,1.37,0.549
f90v2,H,68,35,2.07,1.29,0.515
f93r,H,147,69,2.31,1.35,0.469
f93v,H,87,54,2.51,1.43,0.621
f96r,H,81,51,2.42,1.33,0.63
f96v,H,60,40,2.85,1.6,0.667
f99r,P,191,83,2.14,1.3,0.435
f99v,P,167,75,2.13,1.28,0.449
f100r,P,108,67,2.51,1.53,0.62
f100v,P,86,56,2.67,1.5,0.651
f101r1,P,195,71,1.88,1.25,0.364
f101v2,P,203,86,2.19,1.43,0.424
f102r1,P,108,58,2.19,1.33,0.537
f102r2,P,131,59,2.31,1.46,0.45
f102v1,P,123,52,2.1,1.31,0.423
f102v2,P,172,64,2.07,1.28,0.372
