folio_id,regime_id,cei_value,band_id
f103r,REGIME_3,0.733355,BAND_4
f103v,REGIME_1,0.614616,BAND_2
f104r,REGIME_1,0.529321,BAND_2
f104v,REGIME_3,0.669786,BAND_4
f105r,REGIME_2,0.335844,BAND_1
f105v,REGIME_2,0.097001,BAND_1
f106r,REGIME_1,0.464683,BAND_2
f106v,REGIME_1,0.492237,BAND_2
f107r,REGIME_2,0.326353,BAND_1
f107v,REGIME_1,0.405802,BAND_2
f108r,REGIME_1,0.605177,BAND_2
f108v,REGIME_1,0.577376,BAND_2
f111r,REGIME_1,0.509822,BAND_2
f111v,REGIME_1,0.52399,BAND_2
f112r,REGIME_1,0.439783,BAND_2
f112v,REGIME_1,0.506153,BAND_2
f113r,REGIME_1,0.457814,BAND_2
f113v,REGIME_2,0.389792,BAND_1
f114r,REGIME_1,0.531714,BAND_2
f114v,REGIME_3,0.719607,BAND_4
f115r,REGIME_3,0.680322,BAND_4
f115v,REGIME_2,0.356624,BAND_1
f116r,REGIME_3,0.676869,BAND_4
f26r,REGIME_4,0.638742,BAND_3
f26v,REGIME_2,0.532044,BAND_1
f31r,REGIME_3,0.787325,BAND_4
f31v,REGIME_4,0.553783,BAND_3
f33r,REGIME_3,0.777191,BAND_4
f33v,REGIME_3,0.72705,BAND_4
f34r,REGIME_4,0.632973,BAND_3
f34v,REGIME_4,0.587587,BAND_3
f39r,REGIME_3,0.705651,BAND_4
f39v,REGIME_4,0.634443,BAND_3
f40r,REGIME_4,0.634873,BAND_3
f40v,REGIME_4,0.559443,BAND_3
f41r,REGIME_4,0.626477,BAND_3
f41v,REGIME_4,0.514224,BAND_3
f43r,REGIME_4,0.561309,BAND_3
f43v,REGIME_4,0.564929,BAND_3
f46r,REGIME_3,0.720397,BAND_4
f46v,REGIME_4,0.637074,BAND_3
f48r,REGIME_2,0.374186,BAND_1
f48v,REGIME_2,0.490923,BAND_1
f50r,REGIME_4,0.481318,BAND_3
f50v,REGIME_4,0.379175,BAND_3
f55r,REGIME_4,0.675515,BAND_3
f55v,REGIME_4,0.532585,BAND_3
f57r,REGIME_4,0.422078,BAND_3
f66r,REGIME_1,0.540157,BAND_2
f66v,REGIME_4,0.707225,BAND_3
f75r,REGIME_1,0.599301,BAND_2
f75v,REGIME_1,0.454677,BAND_2
f76r,REGIME_1,0.567222,BAND_2
f76v,REGIME_1,0.463386,BAND_2
f77r,REGIME_3,0.587548,BAND_4
f77v,REGIME_1,0.527398,BAND_2
f78r,REGIME_1,0.49819,BAND_2
f78v,REGIME_1,0.563939,BAND_2
f79r,REGIME_1,0.607233,BAND_2
f79v,REGIME_1,0.504535,BAND_2
f80r,REGIME_1,0.491405,BAND_2
f80v,REGIME_1,0.44801,BAND_2
f81r,REGIME_3,0.596713,BAND_4
f81v,REGIME_1,0.503168,BAND_2
f82r,REGIME_1,0.467063,BAND_2
f82v,REGIME_1,0.392735,BAND_2
f83r,REGIME_1,0.489066,BAND_2
f83v,REGIME_3,0.837823,BAND_4
f84r,REGIME_1,0.554368,BAND_2
f84v,REGIME_1,0.492165,BAND_2
f85r1,REGIME_4,0.539235,BAND_3
f85r2,REGIME_4,0.622954,BAND_3
f85v2,REGIME_2,0.350004,BAND_1
f86v3,REGIME_2,0.427363,BAND_1
f86v4,REGIME_3,0.713577,BAND_4
f86v5,REGIME_2,0.355655,BAND_1
f86v6,REGIME_4,0.530508,BAND_3
f94r,REGIME_4,0.662108,BAND_3
f94v,REGIME_4,0.641763,BAND_3
f95r1,REGIME_3,0.723077,BAND_4
f95r2,REGIME_3,0.814867,BAND_4
f95v1,REGIME_4,0.560723,BAND_3
f95v2,REGIME_4,0.687445,BAND_3
