folio_id,root_present,root_type,root_prominence,root_color_distinct,stem_count,stem_type,stem_thickness,stem_color_distinct,leaf_present,leaf_count_category,leaf_shape,leaf_arrangement,leaf_size_relative,leaf_color_uniform,flower_present,flower_count,flower_position,flower_color_distinct,flower_shape,plant_count,container_present,plant_symmetry,overall_complexity,identifiable_impression,drawing_completeness,coder_notes
INSTRUCTIONS:,PRESENT|ABSENT|UNDETERMINED,NONE|SINGLE_TAPROOT|BRANCHING|BULBOUS...,SMALL|MEDIUM|LARGE|NA...,YES|NO|UNDETERMINED,1|2|3_PLUS|UNDETERMINED,STRAIGHT|CURVED|BRANCHING|TWINING...,THIN|MEDIUM|THICK|UNDETERMINED,YES|NO|UNDETERMINED,PRESENT|ABSENT|UNDETERMINED,NONE|FEW_1_5|MEDIUM_6_15|MANY_16_PLUS...,ROUND|OVAL|LANCEOLATE|LOBED...,ALTERNATE|OPPOSITE|BASAL|WHORLED...,SMALL|MEDIUM|LARGE|MIXED...,YES|NO|UNDETERMINED,PRESENT|ABSENT|UNDETERMINED,NONE|1|2_5|6_PLUS...,NONE|TERMINAL|AXILLARY|THROUGHOUT...,YES|NO|UNDETERMINED,NONE|SIMPLE|COMPOUND|RADIAL...,1|2|3_PLUS|UNDETERMINED,PRESENT|ABSENT|UNDETERMINED,SYMMETRIC|ASYMMETRIC|UNDETERMINED,SIMPLE|MODERATE|COMPLEX|UNDETERMINED,YES|NO|UNCERTAIN,COMPLETE|PARTIAL|FRAGMENTARY|UNDETERMINED,Free text notes
f38r,,,,,,,,,,,,,,,,,,,,,,,,,,
f25r,,,,,,,,,,,,,,,,,,,,,,,,,,
f11r,,,,,,,,,,,,,,,,,,,,,,,,,,
f11v,,,,,,,,,,,,,,,,,,,,,,,,,,
f5v,,,,,,,,,,,,,,,,,,,,,,,,,,
f10v,,,,,,,,,,,,,,,,,,,,,,,,,,
f38v,,,,,,,,,,,,,,,,,,,,,,,,,,
f5r,,,,,,,,,,,,,,,,,,,,,,,,,,
f36r,,,,,,,,,,,,,,,,,,,,,,,,,,
f30v,,,,,,,,,,,,,,,,,,,,,,,,,,
f22v,,,,,,,,,,,,,,,,,,,,,,,,,,
f9v,,,,,,,,,,,,,,,,,,,,,,,,,,
f90v2,,,,,,,,,,,,,,,,,,,,,,,,,,
f32v,,,,,,,,,,,,,,,,,,,,,,,,,,
f17r,,,,,,,,,,,,,,,,,,,,,,,,,,
f18r,,,,,,,,,,,,,,,,,,,,,,,,,,
f9r,,,,,,,,,,,,,,,,,,,,,,,,,,
f20v,,,,,,,,,,,,,,,,,,,,,,,,,,
f2r,,,,,,,,,,,,,,,,,,,,,,,,,,
f47v,,,,,,,,,,,,,,,,,,,,,,,,,,
f24v,,,,,,,,,,,,,,,,,,,,,,,,,,
f56r,,,,,,,,,,,,,,,,,,,,,,,,,,
f42r,,,,,,,,,,,,,,,,,,,,,,,,,,
f49v,,,,,,,,,,,,,,,,,,,,,,,,,,
f51v,,,,,,,,,,,,,,,,,,,,,,,,,,
f45v,,,,,,,,,,,,,,,,,,,,,,,,,,
f3v,,,,,,,,,,,,,,,,,,,,,,,,,,
f29v,,,,,,,,,,,,,,,,,,,,,,,,,,
f4v,,,,,,,,,,,,,,,,,,,,,,,,,,
f23v,,,,,,,,,,,,,,,,,,,,,,,,,,
